address,lat,lon
250 1ST ST,33.878125,-118.406588
373 PERSHING DR,33.960087,-118.44638
11815 WASHINGTON BLVD,33.998776,-118.419239
11741 WASHINGTON BLVD,33.999267,-118.41887
11605 WASHINGTON BLVD,34.000623,-118.417401
11701 WASHINGTON BLVD,34.000073,-118.418036
6605 GREEN VALLEY CIR,33.978718,-118.385885
6625 GREEN VALLEY CIR,33.978806,-118.386005
6639 GREEN VALLEY CIR,33.978988,-118.386322
6665 GREEN VALLEY CIR,33.978994,-118.386733
6500 GREEN VALLEY CIR,33.979251,-118.385053
6525 GREEN VALLEY CIR,33.979298,-118.385952
6575 GREEN VALLEY CIR,33.979373,-118.38675
6515 GREEN VALLEY CIR,33.979403,-118.385601
6555 GREEN VALLEY CIR,33.979439,-118.386508
6505 GREEN VALLEY CIR,33.979619,-118.385571
6565 GREEN VALLEY CIR,33.979698,-118.386769
6545 GREEN VALLEY CIR,33.979804,-118.38649
6447 GREEN VALLEY CIR,33.979864,-118.386168
6435 GREEN VALLEY CIR,33.980055,-118.385834
6415 GREEN VALLEY CIR,33.980069,-118.385606
6425 GREEN VALLEY CIR,33.980326,-118.385947
6405 GREEN VALLEY CIR,33.980434,-118.385515
6325 GREEN VALLEY CIR,33.980497,-118.385852
6365 GREEN VALLEY CIR,33.980515,-118.386485
6385 GREEN VALLEY CIR,33.980523,-118.38676
6345 GREEN VALLEY CIR,33.980714,-118.38601
6315 GREEN VALLEY CIR,33.980735,-118.385537
6300 GREEN VALLEY CIR,33.980838,-118.385021
6355 GREEN VALLEY CIR,33.98096,-118.386484
6305 GREEN VALLEY CIR,33.98098,-118.385602
6375 GREEN VALLEY CIR,33.981016,-118.386654
6223 GREEN VALLEY CIR,33.981123,-118.38564
6219 GREEN VALLEY CIR,33.98122,-118.385681
6233 GREEN VALLEY CIR,33.98127,-118.385921
6215 GREEN VALLEY CIR,33.98131,-118.385746
6225 GREEN VALLEY CIR,33.981451,-118.386032
6100 GREEN VALLEY CIR,33.981778,-118.385688
6275 CANTERBURY DR,33.982025,-118.385228
5625 GREEN VALLEY CIR,33.98221,-118.386103
6225 CANTERBURY DR,33.982275,-118.384733
5815 DOVERWOOD DR,33.982498,-118.388449
5875 DOVERWOOD DR,33.98253,-118.389972
6220 BRISTOL PKWY,33.982544,-118.390714
6250 BUCKINGHAM PKWY,33.982556,-118.385453
5845 DOVERWOOD DR,33.982592,-118.389276
6175 CANTERBURY DR,33.982797,-118.383616
6199 CANTERBURY DR,33.982843,-118.384208
5800 GREEN VALLEY CIR,33.982872,-118.387776
5600 KENSINGTON WAY,33.982937,-118.384862
5830 GREEN VALLEY CIR,33.982998,-118.388715
5870 GREEN VALLEY CIR,33.983017,-118.389825
6174 BUCKINGHAM PKWY,33.983251,-118.3844
6151 CANTERBURY DR,33.983256,-118.383459
6125 CANTERBURY DR,33.983437,-118.382925
6050 CANTERBURY DR,33.983464,-118.382355
6150 BUCKINGHAM PKWY,33.983479,-118.384127
6124 BUCKINGHAM PKWY,33.983801,-118.383964
5650 SUMNER WAY,33.98409,-118.383162
6100 BUCKINGHAM PKWY,33.98412,-118.383821
6000 CANTERBURY DR,33.984158,-118.381973
5674 SUMNER WAY,33.984215,-118.383561
5625 SUMNER WAY,33.984588,-118.382683
6060 BUCKINGHAM PKWY,33.984783,-118.383776
5651 SUMNER WAY,33.984788,-118.383225
6001 CANTERBURY DR,33.984977,-118.382361
5950 CANTERBURY DR,33.985002,-118.381573
5650 WINDSOR WAY,33.985248,-118.382515
6024 BUCKINGHAM PKWY,33.985291,-118.383647
5674 WINDSOR WAY,33.985306,-118.38305
6000 BUCKINGHAM PKWY,33.985607,-118.383422
5625 WINDSOR WAY,33.985694,-118.382236
5651 WINDSOR WAY,33.985817,-118.382628
5951 CANTERBURY DR,33.985957,-118.381974
