address,lat,lon
4109 DUQUESNE AVE,34.019549,-118.394076
5650 SUMNER WAY,33.98409,-118.383162
10839 BARMAN AVE,34.009539,-118.403111
4060 TILDEN AVE,34.009185,-118.409843
4044 HURON AVE,34.010664,-118.40955
4070 CHARLES AVE,34.011375,-118.408417
4037 MADISON AVE,34.018781,-118.396818
10960 ALETTA AVE,34.008993,-118.407478
3405 CAROLINE AVE,34.028299,-118.382629
1201 RAINTREE CIR,34.009443,-118.389278
4273 VINTON AVE,34.013627,-118.396402
4900 OVERLAND AVE,34.00818,-118.396686
4261 JACKSON AVE,34.013139,-118.393281
10878 VENICE BLVD,34.016093,-118.410914
8910 CARSON ST,34.025044,-118.385543
3937 TILDEN AVE,34.011471,-118.412905
11302 SUMMERTIME LN,34.005144,-118.392008
4387 JASMINE AVE,34.011524,-118.393034
4143 JACKSON AVE,34.015727,-118.395713
5317 RAINTREE CIR,34.008752,-118.390226
9950 FARRAGUT DR,34.016729,-118.392633
3813 COLLEGE AVE,34.015494,-118.411791
6605 GREEN VALLEY CIR,33.978718,-118.385885
11185 MCDONALD ST,33.996644,-118.402173
4915 INDIAN WOOD RD,34.006221,-118.391006
6625 GREEN VALLEY CIR,33.978806,-118.386005
5349 BLANCO WAY,33.995689,-118.39916
4063 MADISON AVE,34.01842,-118.396117
4031 JACKSON AVE,34.017915,-118.397814
4149 LA SALLE AVE,34.016622,-118.394698
10716 NORTHGATE ST,34.00057,-118.388116
6525 GREEN VALLEY CIR,33.979298,-118.385952
4104 HURON AVE,34.009678,-118.408938
3530 SCHAEFER ST,34.02623,-118.382082
11309 SUMMERTIME LN,34.005286,-118.392097
4041 WADE ST,33.996224,-118.434279
5215 SEPULVEDA BLVD,33.998878,-118.399911
4145 LAFAYETTE PL,34.019865,-118.392503
4925 INDIAN WOOD RD,34.005992,-118.390022
3590 SCHAEFER ST,34.025098,-118.382582
4269 REVERE PL,34.013381,-118.39255
4265 REVERE PL,34.013453,-118.39269
12022-12024 WASHINGTON BLVD,33.997321,-118.422737
3534 SCHAEFER ST,34.02613,-118.382263
4075 LA SALLE AVE,34.017504,-118.396409
3583 WESLEY ST,34.025079,-118.385139
6365 GREEN VALLEY CIR,33.980515,-118.386485
4068 LAFAYETTE PL,34.021229,-118.394013
5215 SEPULVEDA BLVD,33.998878,-118.399911
5380 BLANCO WAY,33.995293,-118.398627
13203 WASHINGTON BLVD,33.993716,-118.441719
5304 KINSTON AVE,34.002313,-118.394078
3937 WALGROVE AVE,33.99357,-118.444009
6275 CANTERBURY DR,33.982025,-118.385228
3842 PROSPECT AVE,34.014449,-118.411899
3988 CENTINELA AVE,33.999962,-118.430399
10494 CULVER BLVD,34.015088,-118.401034
3980 CENTINELA AVE,34.000096,-118.430476
3348 FAY AVE,34.029734,-118.379426
5651 SUMNER WAY,33.984788,-118.383225
10742 GALVIN ST,34.000278,-118.388435
4154 INCE BLVD,34.021846,-118.388064
5951 CANTERBURY DR,33.985957,-118.381974
10762 GALVIN ST,34.000079,-118.389369
10740 GALVIN ST,34.000337,-118.388585
4204 LA SALLE AVE,34.016339,-118.392928
4904 MAYTIME LN,34.003415,-118.391566
5588 KINSTON AVE,33.99967,-118.392055
5116 RAINTREE CIR,34.009101,-118.390401
3872 TILDEN AVE,34.012731,-118.413389
3544 SCHAEFER ST.,34.0259,-118.382407
4120 TILDEN AVE,34.008701,-118.409209
4351 LE BOURGET AVE,34.010795,-118.395814
11368 WASHINGTON PL,34.006188,-118.417726
5582 KINSTON AVE,33.999666,-118.392368
5127 FAIRBANKS WAY,34.004408,-118.396349
4304 ELENDA ST,34.009162,-118.403826
5314 5320 KINSTON AVE,34.001977,-118.394126
11505 CULVER PARK DR,33.990506,-118.398844
4319 JASMINE AVE,34.013394,-118.394847
4109 SUMMERTIME LN,34.004415,-118.390261
6225 CANTERBURY DR,33.982275,-118.384733
3625 SCHAEFER ST,34.023821,-118.38361
4345 NEOSHO AVE,33.991072,-118.430481
8613 HIGUERA ST,34.022906,-118.383999
3805 HURON AVE,34.014516,-118.413852
3826 HURON AVE,34.014228,-118.413178
5211 RAINTREE CIR,34.008754,-118.390638
3956 TILDEN AVE,34.011308,-118.412075
10950 VENICE BLVD,34.014796,-118.413216
10956 ALETTA AVE,34.009085,-118.407406
3901 BENTLEY AVE,34.011612,-118.41446
3858 GIRARD AVE,34.015191,-118.409559
11234 HANNUM AVE,33.99409,-118.394076
4025 GRAND VIEW BLVD,34.000027,-118.427638
9051 KRUEGER ST,34.023779,-118.390129
3932 SAWTELLE BLVD,34.008931,-118.417384
3591 WESLEY ST,34.024868,-118.385312
6545 GREEN VALLEY CIR,33.979804,-118.38649
4310 MILDRED AVE,33.99145,-118.431158
4306 MILDRED AVE,33.991573,-118.431175
4818 HOLLOW CORNER RD,34.007254,-118.390475
4806 HOLLOW CORNER RD,34.007574,-118.391271
4921 INDIAN WOOD RD,34.005972,-118.390629
4838 HOLLOW CORNER RD,34.006954,-118.389522
4430 OVERLAND AVE,34.010155,-118.398434
3134 ROBERTS AVE,34.030296,-118.377701
3869 TILDEN AVE,34.012585,-118.413656
4239 SAWTELLE BLVD,34.003257,-118.413671
12321 WASHINGTON BLVD,33.997265,-118.427396
4061 WADE ST,33.995906,-118.434236
12325 WASHINGTON BLVD,33.997254,-118.42757
4281 REVERE PL,34.013229,-118.392255
4065 LAFAYETTE PL,34.020873,-118.394065
11307 WASHINGTON PL,34.007272,-118.416884
4245 SAWTELLE BLVD,34.003142,-118.413553
4111 WADE ST,33.995101,-118.434126
11020 VENICE BLVD,34.014071,-118.414462
4121 WADE ST,33.994942,-118.434112
10042 CULVER BLVD,34.019787,-118.397252
3866 COLLEGE AVE,34.014413,-118.410485
6151 CANTERBURY DR,33.983256,-118.383459
5900 CANTERBURY DR,33.986418,-118.380761
3801 COLLEGE AVE,34.015459,-118.412167
3816 PROSPECT AVE,34.015015,-118.412366
3126 ROBERTS AVE,34.030492,-118.377833
4171 LINCOLN AVE,34.017921,-118.392955
9055 KRUEGER ST,34.023682,-118.390217
3427 MCMANUS AVE,34.028715,-118.378625
3918 HURON AVE,34.012585,-118.411865
7310 SUMMERTIME LN,34.005331,-118.391084
4162 COMMONWEALTH AVE,34.00677,-118.41065
10204 BRADDOCK DR,34.016415,-118.39663
4038 HURON AVE,34.010779,-118.409641
4360 MENTONE AVE,34.01054,-118.395989
4244 LAFAYETTE PL,34.018919,-118.389493
5815 DOVERWOOD DR,33.982498,-118.388449
4048 LINCOLN AVE,34.01991,-118.395591
5625 SUMNER WAY,33.984588,-118.382683
4371 OVERLAND AVE,34.010432,-118.399535
11023 OCEAN DR,34.002892,-118.399137
4046 LINCOLN AVE,34.019813,-118.395647
4125 CENTER ST,34.007787,-118.411617
3842 BLEDSOE AVE,34.009513,-118.420425
3425 HELMS AVE,34.027655,-118.383247
4239 JASMINE AVE,34.015119,-118.396491
5314 RAINTREE CIR,34.008738,-118.390014
5625 SUMNER WAY,33.984588,-118.382683
4037 HARTER AVE,34.008662,-118.411092
10818 WAGNER ST,34.010676,-118.403555
4183 CENTER ST,34.006628,-118.40977
3423 CAROLINE AVE,34.027836,-118.382363
6199 CANTERBURY DR,33.982843,-118.384208
4521 EMERALD WAY,34.008379,-118.398457
4244 DUQUESNE AVE,34.018159,-118.390082
6000 CANTERBURY DR,33.984158,-118.381973
4211 BALDWIN AVE,34.01504,-118.3937
9069 CARSON ST,34.02211,-118.388467
11466 WASHINGTON PL,34.005268,-118.41928
11018 ALETTA AVE,34.008418,-118.408032
3410 SHERBOURNE DR,34.028581,-118.381002
6050 CANTERBURY DR,33.983464,-118.382355
4820 HOLLOW CORNER RD,34.007044,-118.390621
3330 CAROLINE AVE,34.029269,-118.382266
3409 CAROLINE AVE,34.0282,-118.382508
3419 CAROLINE AVE,34.027986,-118.382298
7216 RAINTREE CIR,34.00807,-118.390486
3305 RAINTREE CIR,34.00919,-118.389996
5625 GREEN VALLEY CIR,33.98221,-118.386103
4050 BLEDSOE AVE,34.005108,-118.417041
5564 KINSTON AVE,33.9999,-118.392247
3927 HURON AVE,34.012324,-118.412046
6385 GREEN VALLEY CIR,33.980523,-118.38676
8910 KRUEGER ST,34.025631,-118.387368
11520 WASHINGTON PL,34.004751,-118.420139
13209 SUMMERTIME LN,34.004214,-118.390553
11516 WASHINGTON PL,34.004838,-118.419994
10841 FAIRBANKS WAY,34.003466,-118.39611
4164 MADISON AVE,34.017566,-118.393405
3914 HURON AVE,34.012733,-118.411955
4181 LA SALLE AVE,34.016188,-118.393856
4640 MAYTIME LN,34.004221,-118.391962
4249 MCLAUGHLIN AVE,34.000374,-118.418367
5451 KINSTON AVE,34.000592,-118.393736
4069 JACKSON AVE,34.017052,-118.397163
5950 CANTERBURY DR,33.985002,-118.381573
4038 MOORE ST,33.994851,-118.43695
4057 HURON AVE,34.010072,-118.409712
5201 RAINTREE CIR,34.008851,-118.390673
3832-34 HURON AVENUE,34.014114,-118.413087
5114 RAINTREE CIR,34.008891,-118.390578
3460 FAY AVE,34.027672,-118.378642
4132 MADISON AVE,34.018112,-118.394172
4105 DUQUESNE AVE,34.019648,-118.394193
10887 FLAXTON ST,33.999227,-118.392004
3930 HURON AVE,34.012317,-118.411463
4006 BOISE AVE,33.998073,-118.432494
6665 GREEN VALLEY CIR,33.978994,-118.386733
3826 PROSPECT AVE,34.014783,-118.412186
5625 WINDSOR WAY,33.985694,-118.382236
5651 SUMNER WAY,33.984788,-118.383225
6250 BUCKINGHAM PKWY,33.982556,-118.385453
6050 CANTERBURY DR,33.983464,-118.382355
5115 SHOWBOAT LN,34.006798,-118.388821
4117 CHARLES AVE,34.010533,-118.408354
11257 BRADDOCK DR,34.001654,-118.408052
5105 BOUNTY LN,34.008822,-118.388076
3431 CATTARAUGUS AVE,34.027996,-118.380359
12362 HERBERT ST,33.99757,-118.428205
6125 CANTERBURY DR,33.983437,-118.382925
3801 TILDEN AVE,34.013989,-118.41477
10860 VENICE BLVD,34.016497,-118.410202
3543/3545 HELMS AVE,33.998214,-118.394059
11251 BRADDOCK DR,34.00177,-118.407964
4144 MADISON AVE,34.017967,-118.393891
