,address,unit,beds,baths,built,rent,rentdate,encumbered,status,registered,slug
0,4109 DUQUESNE AVE,4109,1.0,1.0,1940.0,2500.0,2022/10/15,No,Rented,True,4109-duquesne-ave
0,5650 SUMNER WAY,201,2.0,2.0,1968.0,3000.0,2022/09/28,No,Rented,True,5650-sumner-way
0,10839 BARMAN AVE,1,3.0,2.0,1938.0,5500.0,2022/09/27,No,Rented,True,10839-barman-ave
0,4044 HURON AVE,4044 A,1.0,1.0,1931.0,0.0,2022/09/26,No,Vacant,True,4044-huron-ave
0,4044 HURON AVE,4044,2.0,2.0,1931.0,0.0,2022/09/26,No,Vacant,True,4044-huron-ave
0,4060 TILDEN AVE,4058,3.0,2.5,1990.0,5195.0,2022/09/26,No,Rented,True,4060-tilden-ave
0,4044 HURON AVE,4044 B,0.0,1.0,1931.0,0.0,2022/09/26,No,Vacant,True,4044-huron-ave
0,4070 CHARLES AVE,4070,3.0,1.5,1952.0,3700.0,2022/09/23,No,Rented,True,4070-charles-ave
0,10960 ALETTA AVE,1,3.0,1.0,1944.0,1500.0,2022/09/22,No,Rented,True,10960-aletta-ave
0,4037 MADISON AVE,4039,1.0,1.0,1915.0,1047.0,2022/09/22,No,Rented,True,4037-madison-ave
0,4037 MADISON AVE,4039.5,1.0,1.0,1915.0,1350.0,2022/09/22,No,Rented,True,4037-madison-ave
0,4037 MADISON AVE,4037,2.0,1.25,1915.0,2664.0,2022/09/22,No,Rented,True,4037-madison-ave
0,3405 CAROLINE AVE,1,2.0,2.0,1923.0,3095.0,2022/09/19,No,Rented,True,3405-caroline-ave
0,3405 CAROLINE AVE,2,2.0,2.0,1923.0,4195.0,2022/09/19,No,Rented,True,3405-caroline-ave
0,3405 CAROLINE AVE,3,2.0,1.0,1923.0,3200.0,2022/09/19,No,Rented,True,3405-caroline-ave
0,4273 VINTON AVE,4273,3.0,2.0,1939.0,5600.0,2022/09/17,No,Rented,True,4273-vinton-ave
0,1201 RAINTREE CIR,1201,2.0,2.0,1972.0,2200.0,2022/09/17,No,Rented,True,1201-raintree-cir
0,4261 JACKSON AVE,4265,2.0,1.0,1956.0,4500.0,2022/09/17,No,Vacant,True,4261-jackson-ave
0,4261 JACKSON AVE,4263,1.0,1.0,1956.0,3400.0,2022/09/17,No,Vacant,True,4261-jackson-ave
0,4261 JACKSON AVE,4261,1.0,1.0,1956.0,3400.0,2022/09/17,No,Vacant,True,4261-jackson-ave
0,4900 OVERLAND AVE,168,2.0,1.5,1973.0,1895.0,2022/09/17,No,Rented,True,4900-overland-ave
0,11302 SUMMERTIME LN,11302,3.0,2.0,1950.0,2675.0,2022/09/16,No,Rented,True,11302-summertime-ln
0,10878 VENICE BLVD,V3,1.0,1.0,1953.0,1625.0,2022/09/16,No,Rented,True,10878-venice-blvd
0,10878 VENICE BLVD,V1,1.0,1.0,1953.0,1625.0,2022/09/16,No,Rented,True,10878-venice-blvd
0,10878 VENICE BLVD,G6,1.0,1.0,1953.0,1905.5,2022/09/16,No,Rented,True,10878-venice-blvd
0,10878 VENICE BLVD,V4,1.0,1.0,1953.0,1575.0,2022/09/16,No,Rented,True,10878-venice-blvd
0,10878 VENICE BLVD,G5,1.0,1.0,1953.0,1695.0,2022/09/16,No,Rented,True,10878-venice-blvd
0,10878 VENICE BLVD,G4,1.0,1.0,1953.0,1775.0,2022/09/16,No,Rented,True,10878-venice-blvd
0,3937 TILDEN AVE,A,2.0,1.0,1944.0,2300.0,2022/09/16,No,Rented,True,3937-tilden-ave
0,3937 TILDEN AVE,B,2.0,1.0,1944.0,2350.0,2022/09/16,No,Rented,True,3937-tilden-ave
0,3937 TILDEN AVE,C,2.0,1.0,1944.0,2450.0,2022/09/16,No,Rented,True,3937-tilden-ave
0,10878 VENICE BLVD,G3,1.0,1.0,1953.0,1625.0,2022/09/16,No,Rented,True,10878-venice-blvd
0,10878 VENICE BLVD,G2,1.0,1.0,1953.0,1846.0,2022/09/16,No,Rented,True,10878-venice-blvd
0,10878 VENICE BLVD,V2,1.0,1.0,1953.0,1975.0,2022/09/16,No,Vacant,True,10878-venice-blvd
0,10878 VENICE BLVD,G1,1.0,1.0,1953.0,1990.0,2022/09/16,No,Rented,True,10878-venice-blvd
0,4387 JASMINE AVE,House,3.0,2.0,1950.0,5185.0,2022/09/16,No,Rented,True,4387-jasmine-ave
0,8910 CARSON ST,8910,2.0,1.0,1922.0,3700.0,2022/09/16,No,Rented,True,8910-carson-st
0,3813 COLLEGE AVE,3815,0.0,1.0,1978.0,700.0,2022/09/15,No,Rented,True,3813-college-ave
0,11185 MCDONALD ST,1,3.0,2.0,1952.0,6318.0,2022/09/15,No,Rented,True,11185-mcdonald-st
0,5317 RAINTREE CIR,5317,2.0,2.0,1970.0,3085.0,2022/09/15,No,Rented,True,5317-raintree-cir
0,6605 GREEN VALLEY CIR,201,2.0,2.0,1970.0,2150.0,2022/09/15,Yes,Rented,True,6605-green-valley-cir
0,3813 COLLEGE AVE,3813,2.0,1.0,1978.0,1965.0,2022/09/15,No,Rented,True,3813-college-ave
0,4143 JACKSON AVE,4143,2.0,2.0,1948.0,3400.0,2022/09/15,No,Rented,True,4143-jackson-ave
0,4143 JACKSON AVE,4145,0.0,1.0,1955.0,1400.0,2022/09/15,No,Rented,True,4143-jackson-ave
0,3813 COLLEGE AVE,3815.5,1.0,1.0,1978.0,2150.0,2022/09/15,No,Rented,True,3813-college-ave
0,3813 COLLEGE AVE,3815.25,2.0,1.0,1978.0,2150.0,2022/09/15,No,Rented,True,3813-college-ave
0,4143 JACKSON AVE,4147,0.0,1.0,1955.0,1700.0,2022/09/15,No,Rented,True,4143-jackson-ave
0,9950 FARRAGUT DR,1,2.0,2.0,1991.0,2000.0,2022/09/15,No,Rented,True,9950-farragut-dr
0,5349 BLANCO WAY,1,3.0,1.5,1952.0,3400.0,2022/09/14,No,Rented,True,5349-blanco-way
0,6625 GREEN VALLEY CIR,308,2.0,2.0,1970.0,2690.0,2022/09/14,No,Rented,True,6625-green-valley-cir
0,5650 SUMNER WAY,105,1.0,1.0,1900.0,1200.0,2022/09/14,No,Rented,True,5650-sumner-way
0,4063 MADISON AVE,4063,1.0,1.0,1928.0,2600.0,2022/09/14,No,Rented,True,4063-madison-ave
0,4915 INDIAN WOOD RD,600,3.0,2.0,1973.0,3529.0,2022/09/14,No,Rented,True,4915-indian-wood-rd
0,6525 GREEN VALLEY CIR,216,3.0,2.0,1970.0,2995.0,2022/09/13,No,Rented,True,6525-green-valley-cir
0,4031 JACKSON AVE,202,2.0,2.0,1987.0,913.0,2022/09/13,Yes,Rented,True,4031-jackson-ave
0,4031 JACKSON AVE,201,2.0,2.0,1987.0,935.0,2022/09/13,Yes,Rented,True,4031-jackson-ave
0,4149 LA SALLE AVE,4149,1.0,1.0,1952.0,2130.0,2022/09/13,No,Rented,True,4149-la-salle-ave
0,4031 JACKSON AVE,103,2.0,2.0,1987.0,0.0,2022/09/13,Yes,Vacant,True,4031-jackson-ave
0,4031 JACKSON AVE,102,2.0,2.0,1987.0,935.0,2022/09/13,Yes,Rented,True,4031-jackson-ave
0,4031 JACKSON AVE,101,2.0,2.0,1987.0,935.0,2022/09/13,Yes,Rented,True,4031-jackson-ave
0,4031 JACKSON AVE,205,2.0,2.0,1987.0,1100.0,2022/09/13,Yes,Rented,True,4031-jackson-ave
0,4031 JACKSON AVE,204,2.0,2.0,1987.0,935.0,2022/09/13,Yes,Rented,True,4031-jackson-ave
